building_id,model,n_origins,nmae,nrmse,mape,ncrps
Panther_education_Cleopatra,chronos_bolt_small,28,0.1810771398877439,0.2867203286909742,25.446464079987276,0.1924333973002978
Panther_education_Diann,chronos_bolt_small,28,0.1601613833735476,0.2799962454502983,24.047228636295507,0.2009358975245276
Panther_education_Edna,chronos_bolt_small,28,0.0652706303456782,0.1072891844305783,6.71168541613518,0.0542150190785978
Panther_education_Emily,chronos_bolt_small,28,0.1051662877692855,0.1628071505163908,10.777502782676216,0.0906354359292516
Panther_education_Enriqueta,chronos_bolt_small,28,0.1193992044051144,0.1948061031874616,13.765710547788563,0.1132949964197552
Panther_education_Genevieve,chronos_bolt_small,28,0.0249633985590579,0.058655195041415,2.3293671125722506,0.0198698481594523
Panther_education_Gina,chronos_bolt_small,28,0.0142535323557607,0.0213192737667388,1.4282629630591894,0.01146932677964
Panther_education_Hugh,chronos_bolt_small,28,0.0201616334609085,0.0332227316308239,2.066307743230602,0.0163960633655117
Panther_education_Ivan,chronos_bolt_small,28,0.0856311197861906,0.1372569239875493,7.808066615624262,0.0660006319826203
Panther_education_Janis,chronos_bolt_small,28,0.234997969922132,0.3301808097172495,23.94592930317943,0.1898671310537213
Panther_education_Jerome,chronos_bolt_small,28,0.0127755113856201,0.018589699212441,1.2782215738525786,0.0103932357325069
Panther_education_Jonathan,chronos_bolt_small,28,0.5510445024801812,2.7913736801895035,4239.629912829633,49935412.67444231
Panther_education_Karri,chronos_bolt_small,28,0.035924465647638,0.0861105500284828,3.309347723550253,0.028402680825943
Panther_education_Mattie,chronos_bolt_small,28,0.3245838513565448,0.4695594437395103,43.21896968042008,0.2906586021163565
Panther_education_Misty,chronos_bolt_small,28,0.1554564164295018,0.2409261857601149,18.2887343946479,0.1379384369330336
Panther_education_Mohammad,chronos_bolt_small,28,0.0695959031392486,0.0981458641214925,7.240801053026019,0.0566042080696455
Panther_education_Neal,chronos_bolt_small,28,0.1576679533572532,0.2128455212730434,18.36163375713269,0.1281376830611415
Panther_education_Quintin,chronos_bolt_small,28,0.0944756137942459,0.1490758484304884,10.296109507454746,0.0870952075265762
Panther_education_Rosalie,chronos_bolt_small,28,0.0870518034054996,0.1255361490645271,9.73457396709833,0.0730968868231753
Panther_education_Scarlett,chronos_bolt_small,28,0.0973733969363951,0.160598971247193,8.75305221173861,0.0687625119153393
Panther_education_Shelton,chronos_bolt_small,28,0.05814007888071,0.1010581844033511,6.22962542786538,0.0512606846983241
Panther_education_Sophia,chronos_bolt_small,28,0.0195644802040586,0.046795667286248,2.1458994886573186,0.0164224555163437
Panther_education_Teofila,chronos_bolt_small,28,0.0895492881696044,0.1506543352165819,9.355794373732635,0.0787518585056641
Panther_education_Tina,chronos_bolt_small,28,0.3259208797488822,0.4840189395556623,35.8610608884327,0.2432427694002116
Panther_education_Vincent,chronos_bolt_small,28,0.0855973533554074,0.1471703861191367,10.303667111793947,0.0844448582344409
Panther_education_Violet,chronos_bolt_small,28,0.0494079290427803,0.0664847863117234,4.915353757106922,0.038725716124782
Panther_education_Zelda,chronos_bolt_small,28,0.0943133100238816,0.1728895667702351,10.520117661214364,0.0896448554180656
Panther_lodging_Alita,chronos_bolt_small,28,0.0687206838464449,0.1014909911492471,7.63840223861028,0.0590700431446629
Panther_lodging_Anastasia,chronos_bolt_small,28,0.1233470806139168,0.1588661311081129,13.176283759009758,0.0997590725620522
Panther_lodging_Awilda,chronos_bolt_small,28,0.0300030493210514,0.0432109393045496,2.9344207462975462,0.0239471603299703
Panther_lodging_Blaine,chronos_bolt_small,28,0.1317508170841159,0.1926511205281328,14.171412222375864,0.1083518472641143
Panther_lodging_Cora,chronos_bolt_small,28,0.0716538457470712,0.1021886088946145,7.1961556064186025,0.0555773252823958
